Time,UTC time,Year,Month,Day,Day of week text),Day of year,Hours,Min,Seconds,Time of the day hhminsec,Mins since midnight,Sensor nr,Long (deg),Lat (deg),Altitude (m),Traffic Flow (cars/min)
1662028412,2022-09-01T10:33:32,2022,9,1,Th,244,11,33,32,113332,693,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662028712,2022-09-01T10:38:32,2022,9,1,Th,244,11,38,32,113832,698,[SCC]1YMD2,-1.48421975,53.38098528,103.438,18.4
1662029012,2022-09-01T10:43:32,2022,9,1,Th,244,11,43,32,114332,703,[SCC]1YMD2,-1.48421975,53.38098528,103.438,19.2
1662029312,2022-09-01T10:48:32,2022,9,1,Th,244,11,48,32,114832,708,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662029612,2022-09-01T10:53:32,2022,9,1,Th,244,11,53,32,115332,713,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662029918,2022-09-01T10:58:38,2022,9,1,Th,244,11,58,38,115838,718,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662030212,2022-09-01T11:03:32,2022,9,1,Th,244,12,3,32,120332,723,[SCC]1YMD2,-1.48421975,53.38098528,103.438,13.6
1662030512,2022-09-01T11:08:32,2022,9,1,Th,244,12,8,32,120832,728,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662030812,2022-09-01T11:13:32,2022,9,1,Th,244,12,13,32,121332,733,[SCC]1YMD2,-1.48421975,53.38098528,103.438,20
1662031112,2022-09-01T11:18:32,2022,9,1,Th,244,12,18,32,121832,738,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662031412,2022-09-01T11:23:32,2022,9,1,Th,244,12,23,32,122332,743,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662031712,2022-09-01T11:28:32,2022,9,1,Th,244,12,28,32,122832,748,[SCC]1YMD2,-1.48421975,53.38098528,103.438,15.2
1662032012,2022-09-01T11:33:32,2022,9,1,Th,244,12,33,32,123332,753,[SCC]1YMD2,-1.48421975,53.38098528,103.438,19.2
1662032312,2022-09-01T11:38:32,2022,9,1,Th,244,12,38,32,123832,758,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662032612,2022-09-01T11:43:32,2022,9,1,Th,244,12,43,32,124332,763,[SCC]1YMD2,-1.48421975,53.38098528,103.438,20
1662032912,2022-09-01T11:48:32,2022,9,1,Th,244,12,48,32,124832,768,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662033212,2022-09-01T11:53:32,2022,9,1,Th,244,12,53,32,125332,773,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662033513,2022-09-01T11:58:33,2022,9,1,Th,244,12,58,33,125833,778,[SCC]1YMD2,-1.48421975,53.38098528,103.438,19.2
1662033812,2022-09-01T12:03:32,2022,9,1,Th,244,13,3,32,130332,783,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662034112,2022-09-01T12:08:32,2022,9,1,Th,244,13,8,32,130832,788,[SCC]1YMD2,-1.48421975,53.38098528,103.438,21.6
1662034412,2022-09-01T12:13:32,2022,9,1,Th,244,13,13,32,131332,793,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662034712,2022-09-01T12:18:32,2022,9,1,Th,244,13,18,32,131832,798,[SCC]1YMD2,-1.48421975,53.38098528,103.438,18.4
1662035012,2022-09-01T12:23:32,2022,9,1,Th,244,13,23,32,132332,803,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662035312,2022-09-01T12:28:32,2022,9,1,Th,244,13,28,32,132832,808,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662035612,2022-09-01T12:33:32,2022,9,1,Th,244,13,33,32,133332,813,[SCC]1YMD2,-1.48421975,53.38098528,103.438,19.2
1662035912,2022-09-01T12:38:32,2022,9,1,Th,244,13,38,32,133832,818,[SCC]1YMD2,-1.48421975,53.38098528,103.438,12.8
1662036212,2022-09-01T12:43:32,2022,9,1,Th,244,13,43,32,134332,823,[SCC]1YMD2,-1.48421975,53.38098528,103.438,14.4
1662036512,2022-09-01T12:48:32,2022,9,1,Th,244,13,48,32,134832,828,[SCC]1YMD2,-1.48421975,53.38098528,103.438,12.8
1662036812,2022-09-01T12:53:32,2022,9,1,Th,244,13,53,32,135332,833,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662037113,2022-09-01T12:58:33,2022,9,1,Th,244,13,58,33,135833,838,[SCC]1YMD2,-1.48421975,53.38098528,103.438,15.2
1662037412,2022-09-01T13:03:32,2022,9,1,Th,244,14,3,32,140332,843,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662037712,2022-09-01T13:08:32,2022,9,1,Th,244,14,8,32,140832,848,[SCC]1YMD2,-1.48421975,53.38098528,103.438,15.2
1662038012,2022-09-01T13:13:32,2022,9,1,Th,244,14,13,32,141332,853,[SCC]1YMD2,-1.48421975,53.38098528,103.438,13.6
1662038312,2022-09-01T13:18:32,2022,9,1,Th,244,14,18,32,141832,858,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662038612,2022-09-01T13:23:32,2022,9,1,Th,244,14,23,32,142332,863,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662038912,2022-09-01T13:28:32,2022,9,1,Th,244,14,28,32,142832,868,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662039212,2022-09-01T13:33:32,2022,9,1,Th,244,14,33,32,143332,873,[SCC]1YMD2,-1.48421975,53.38098528,103.438,20
1662039512,2022-09-01T13:38:32,2022,9,1,Th,244,14,38,32,143832,878,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662039812,2022-09-01T13:43:32,2022,9,1,Th,244,14,43,32,144332,883,[SCC]1YMD2,-1.48421975,53.38098528,103.438,18.4
1662040112,2022-09-01T13:48:32,2022,9,1,Th,244,14,48,32,144832,888,[SCC]1YMD2,-1.48421975,53.38098528,103.438,21.6
1662040412,2022-09-01T13:53:32,2022,9,1,Th,244,14,53,32,145332,893,[SCC]1YMD2,-1.48421975,53.38098528,103.438,15.2
1662040715,2022-09-01T13:58:35,2022,9,1,Th,244,14,58,35,145835,898,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662041012,2022-09-01T14:03:32,2022,9,1,Th,244,15,3,32,150332,903,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
